Partner,Dependents,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Churn,new_customer,is_autopay,ChargePerMonthRatio,Fiber_NoTechSupport,FiberOptic_StreamingTV,Senior_Contract,M2M_ElectronicCheck,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,tenure_group_0–6,tenure_group_6–12,tenure_group_12–24,tenure_group_24–48,tenure_group_48–60,tenure_group_60–72,AddOnGroup_None,AddOnGroup_Low,AddOnGroup_High,MonthlyCharges_group_Low,MonthlyCharges_group_Medium,MonthlyCharges_group_High,MonthlyCharges_group_Very High
1,0,0,0,1,0,0,0,0,1,0,1,0,1.8054192810951517,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,-0.5278185308890365,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,0,0,1,1,0,0,0,0,1,1,1,0,1.7103655849490553,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,1,0,1,1,0,0,0,0,0,1,-0.8343714242073683,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,1,1,0,1.9619655886864849,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,1,0,1,1,1,1,0,0,1.0137125747451283,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0,1,1,0,1,0,0,1,0,1,0,0,1,0.07852763317287403,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,-0.14987693189902832,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,0,1,0,0,1,1,1,1,1,1,0,0,0.018651971719096112,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,1,0,1,1,0,0,0,0,0,0,0,1,-0.85142074631723,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0,1,0,0,0,0,0,1,0,0,0,0.03845356078195718,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,-0.7211615021001618,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
1,0,1,0,0,1,0,1,1,0,0,0,1,-0.5083378391336919,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,1,0,1,1,0,1,1,1,1,0,1,-0.38210441104163295,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,1,0,1,1,1,1,1,0,0,0,0.11012093425612667,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,1,1,1,1,1,1,1,1,0,0,0,1,-0.5399146680945236,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1476199529858373,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,1,1,1,0,1,0,1,1,0,0,0,1,-0.5913049526230144,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1,1,0,0,0,1,1,0,0,0,1,0,1,0.3223166828189019,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,0,0,1,1,0,0,0,0.12248825657212749,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,1,0,0,1,1,1,1,0,2.0686513986047474,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,-0.536778374824811,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1.4452056127541566,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1,0,1,0,1,0,1,0,0,1,0,0,1,-0.789803962527014,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,0,1,1,0,1,0,0,0,0,0,1,-0.7073049798842374,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0,0,0,1,1,0,0,0,0,1,0,0,1,-0.4695849077987135,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1,1,1,0,1,0,0,1,1,1,1,0,0,-0.3828692180239578,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1,1,0,0,1,0,0,0,0,0,1,1,0,1.8161841246390145,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1,0,1,1,1,1,1,1,1,1,0,0,1,-0.6914448282707286,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,1,1,1,0,0,0.031248516101153295,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,0,1,1,1,1,1,0,0,1,0,0,1,-0.6485668160921603,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0,0,0,0,1,0,1,1,1,0,1,1,2.242038582922118,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,1,0,1,1,1,1,0,0,0,0,0,0,-0.28504217385678576,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1.4474587811405772,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,2.1918050707426273,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1,1,1,1,1,0,1,1,0,0,0,0,1,-0.636315400497289,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,1,1,1,0,1.1135221732285228,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,1,0,0,1,-0.5454281085905797,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,1,0,1,1,0,1,1,1,1,0,0,-0.11385141842273311,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,1,0,0,1,0,1,1,1,1,0,1,0.7204168384665931,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0.23582348334360864,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,0,0,1,0,1,0,0,1,-0.8107750534690688,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,-0.705471909009818,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,0,1,1,1,1,1,1,0,1,0,0,1,-0.6855399792537987,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0,1,1,1,0,1,1,0,1,0,0,0,0.3710364001020597,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,1,1,0,0,0,-0.5103260278588704,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1.6283469594975457,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,1,0,1,1,1,0,2.084366204490908,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,1,1,0,0,1,1,1,1,0,0,1,-0.5796199904336086,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1,1,1,1,0,1,1,0,0,1,0,0,1,-0.8394461046932822,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,1,0,1,0,0,1,0,1,0,0,0,-0.387474709045693,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0,1,1,0,0,1,1,1,1,0,1,0.46940978469253164,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1,0,1,1,0,0,1,1,0,1,0,0,1,-0.19787471988856983,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,0,1,1,0,1,0.828414069871784,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,1,1,1,0,1,1,0,0,1,-0.693977079198995,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,1,1,1,1,0,0,0.28998408924376673,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,1,1,1,0,0,0,1,1,1,0,0,1,-0.5616774233275469,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,1,1,0,1,1,1,1,1,1,0,0,0,-0.5392366407656558,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
